canonical_bioactive_name,meaningful_threshold_amount,meaningful_threshold_unit,meaningful_threshold_basis,meaningful_threshold_source,meaningful_review_status,supplement_threshold_amount,supplement_threshold_unit,supplement_threshold_basis,supplement_threshold_source,supplement_review_status,trace_definition,meaningful_definition,supplement_definition,notes
Sugars,2.5,g sugars/serving,"5% of FDA added-sugars Daily Value, used as the low-boundary threshold for sugar caution routing when added/free sugar context is available","FDA Daily Values and 5% DV low guidance, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels; FDA Nutrition Facts Label guide, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label; WHO sugars guideline summary, https://www.who.int/news/item/04-03-2015-who-calls-on-countries-to-reduce-sugars-intake-among-adults-and-children",meaningful_dose_reviewed_caution,25,g sugars/serving,half-DV added-sugar/high-sugar serving context; caution-only exposure,"FDA added sugars DV is 50 g/day on a 2,000 calorie diet, https://www.fda.gov/media/135299/download; FDA Nutrition Facts label added-sugars guidance, https://www.fda.gov/food/nutrition-facts-label/how-understand-and-use-nutrition-facts-label; carbohydrate gel study used 30 g carbohydrate per serving, https://www.sciencedirect.com/science/article/pii/S2405844024095288",supplement_dose_reviewed_caution,"< 2.5 g sugars/serving; do not surface direct health-effect claims, only optional background presence language.",>= 2.5 g sugars/serving and below 25 g sugars/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 25 g sugars/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 5 g for minimum-effect/caution routing. Prefer added/free-sugars context when available; total sugars from intact fruit or dairy should not automatically receive the same negative framing.
Sulfate,120,mg sulfate/serving,beverage-oriented caution threshold approximating an 8 fl oz serving at EPA 500 mg/L sulfate acute advisory concentration; not a beneficial nutrient threshold,"EPA sulfate health-effects analysis PDF, https://www.epa.gov/sites/default/files/2014-09/documents/support_cc1_sulfate_healtheffects.pdf; EPA archived sulfate in drinking water overview, https://archive.epa.gov/water/archive/web/html/sulfate.html; WHO sulfate in drinking-water background, https://cdn.who.int/media/docs/default-source/wash-documents/wash-chemicals/sulfate.pdf",meaningful_dose_reviewed_caution,1200,mg sulfate-containing compound/serving,chondroitin/glucosamine sulfate supplement compound-dose context; sulfate itself is not normally the target nutrient,"FDA GRAS notice states chondroitin sulfate commonly used as dietary supplement at 1200 mg/day, https://www.fda.gov/downloads/Food/IngredientsPackagingLabeling/GRAS/NoticeInventory/ucm524570.pdf; NIH DSLD glucosamine sulfate label lists 1500 mg glucosamine sulfate, https://dsld.od.nih.gov/label/248062; Mayo Clinic glucosamine overview, https://www.mayoclinic.org/drugs-supplements-glucosamine/art-20362874",not_typical_supplement_reviewed,"< 120 mg sulfate/serving; do not surface direct health-effect claims, only optional background presence language.",>= 120 mg sulfate/serving and below 1200 mg sulfate-containing compound/serving; eligible for caution/limit-oriented food-level health-effect summaries when evidence context supports the effect.,">= 1200 mg sulfate-containing compound/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Use only for high-sulfate water/beverage GI-tolerance routing; sulfate concentration and total osmotic load matter, so this is not a general food or supplement benefit threshold."
Taurine,50,mg taurine/serving,lowest oral human dose identified with reported strength-exercise fatigue/antioxidant effects; broader endurance and cardiometabolic evidence usually uses 500 mg to multi-gram daily dosing,"taurine exercise dose-response review, https://pmc.ncbi.nlm.nih.gov/articles/PMC8419774/; taurine metabolic syndrome systematic review, https://pmc.ncbi.nlm.nih.gov/articles/PMC11099170/; FDA GRAS Notice 586 taurine safety summary, https://www.fda.gov/files/food/published/GRAS-Notice-000586---Taurine.pdf",meaningful_dose_reviewed,1000,mg taurine/serving,effect-oriented taurine supplement territory aligned with human exercise evidence using 1-6 g oral doses and common 500-2000 mg supplement serving ranges,"taurine metabolic syndrome systematic review reporting 0.5-6 g/day human doses, https://pmc.ncbi.nlm.nih.gov/articles/PMC11099170/; taurine endurance-dose meta-analysis reporting 1-6 g oral doses, https://pubmed.ncbi.nlm.nih.gov/29546641/; taurine review noting many supplements provide 500-2000 mg/serving, https://pmc.ncbi.nlm.nih.gov/articles/PMC10574552/",supplement_dose_reviewed,"< 50 mg taurine/serving; do not surface direct health-effect claims, only optional background presence language.",>= 50 mg taurine/serving and below 1000 mg taurine/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 1000 mg taurine/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 500 mg for minimum-effect routing. Use 50 mg only for narrow exercise/fatigue or antioxidant-biomarker contexts; cardiometabolic, blood-pressure, endurance, or energy-drink claims need higher matched dosing and matrix review."
Thiamin,0.11,mg/serving,"10% of the lower adult RDA, 1.1 mg/day for adult women; FDA Daily Value remains 1.2 mg","NIH ODS Thiamin fact sheet, https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/; National Academies thiamin DRI chapter, https://www.ncbi.nlm.nih.gov/books/NBK114331/; Harvard Nutrition Source thiamin overview, https://nutritionsource.hsph.harvard.edu/vitamin-b1/",meaningful_dose_reviewed,100,mg/serving,common standalone thiamin/B1 tablet dose,"NIH ODS thiamin fact sheet, https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/; DailyMed thiamine HCl label lists adults 100 mg daily, https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=cdc2e185-c683-4ec6-a498-5db3a1c80919; Nature Made/NOW B1 100 mg labels, https://www.nowfoods.com/products/supplements/vitamin-b-1-100-mg-tablets",supplement_dose_reviewed,"< 0.11 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.11 mg/serving and below 100 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 100 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 0.12 mg for minimum-effect routing using the lower adult RDA. Food-level thiamin routing should stay in deficiency/normal metabolism context; high-dose therapeutic thiamin claims need separate dose matching.
Vitamin A and Carotenoids,70,ug RAE/serving,"10% of the lower adult RDA, 700 ug RAE/day for adult women; FDA Daily Value and adult male RDA remain 900 ug RAE","NIH ODS Vitamin A and Carotenoids fact sheet, https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/; NIH ODS Vitamin A consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminA-Consumer/; Harvard Nutrition Source vitamin A overview, https://nutritionsource.hsph.harvard.edu/vitamin-a/",meaningful_dose_reviewed,900,ug RAE/serving,full-DV/multivitamin-level vitamin A dose; form-dependent caution,"NIH ODS Vitamin A fact sheet on RAE conversions and supplement forms, https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/; NIH ODS consumer fact sheet notes vitamin A supplements may be preformed vitamin A, beta-carotene, or both, https://ods.od.nih.gov/factsheets/VitaminA-Consumer/; UConn Extension notes single vitamin A supplements often around 3000 mcg, https://extension.uconn.edu/publication/understanding-vitamin-a/",supplement_dose_reviewed_caution,"< 70 ug RAE/serving; do not surface direct health-effect claims, only optional background presence language.",>= 70 ug RAE/serving and below 900 ug RAE/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 900 ug RAE/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Lowered from 90 ug RAE for minimum-effect routing using the lower adult RDA. RAE depends on retinol versus provitamin carotenoid form; avoid high-dose preformed vitamin A or beta-carotene-in-smokers inferences from ordinary food-level amounts.
Vitamin B12,0.24,ug/serving,10% of the 2.4 ug/day FDA Daily Value and adult RDA context,"NIH ODS Vitamin B12 fact sheet, https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/; NIH ODS Vitamin B12 consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminB12-Consumer/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,25,ug/serving,upper end of multivitamin B12 dose; below standalone high-dose products,"NIH ODS B12 fact sheet: multivitamins commonly 5-25 mcg; B-complex 50-500 mcg; standalone 500-1000 mcg, https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/; NIH ODS consumer fact sheet notes 500-1000 mcg products, https://ods.od.nih.gov/factsheets/VitaminB12-Consumer/",supplement_dose_reviewed,"< 0.24 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.24 ug/serving and below 25 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 25 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level B12 is meaningful for contribution to normal blood/nerve metabolism; deficiency treatment and malabsorption contexts require higher or medical dosing.
Vitamin B6,0.13,mg/serving,"10% of the lower adult RDA, 1.3 mg/day for adults 19-50; FDA Daily Value remains 1.7 mg","NIH ODS Vitamin B6 fact sheet, https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/; NIH ODS Vitamin B6 consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminB6-Consumer/; EFSA vitamin B6 UL scientific opinion, https://pmc.ncbi.nlm.nih.gov/articles/PMC10189633/",meaningful_dose_reviewed,10,mg/serving,lower supplemental pyridoxine dose with neuropathy-caution context,"NIH ODS Vitamin B6 fact sheet and adult UL discussion, https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/; Kaiser Permanente pyridoxine 10 mg tablet drug encyclopedia, https://healthy.kaiserpermanente.org/health-wellness/drug-encyclopedia/drug.pyridoxine-vitamin-b6-10-mg-tablet.596247; DailyMed B6 label example lists 50 mg pyridoxine HCl, https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b46908f4-5a46-44a0-a1fb-fe47f8192a1a",supplement_dose_reviewed_caution,"< 0.13 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.13 mg/serving and below 10 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 10 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.","Lowered from 0.17 mg for minimum-effect routing using the lower adult RDA. Food-level B6 routing should emphasize normal metabolism; neuropathy caution applies to chronic high supplemental doses, not ordinary food contributions."
Vitamin B9,40,ug DFE/serving,10% of the 400 ug DFE/day FDA Daily Value and adult RDA context; pregnancy/neural-tube-defect prevention has specific folic-acid guidance,"NIH ODS Folate fact sheet, https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/; NIH ODS Folate consumer fact sheet, https://ods.od.nih.gov/factsheets/Folate-Consumer/; CDC folic acid intake guidance, https://www.cdc.gov/folic-acid/about/intake-and-sources.html",meaningful_dose_reviewed,665,ug DFE/serving,common 400 mcg folic acid supplement expressed as DFE,"NIH ODS folate fact sheet: adult supplement doses commonly 680-1360 mcg DFE (400-800 mcg folic acid), https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/; FDA folate/folic acid label guidance, https://www.fda.gov/food/nutrition-facts-label/folate-and-folic-acid-nutrition-and-supplement-facts-labels; Nature Made folic acid label lists 400 mcg folic acid / 665 mcg DFE, https://www.amazon.com/Nature-Made-Folic-Acid-Tablets/dp/B0000DJAPS",supplement_dose_reviewed,"< 40 ug DFE/serving; do not surface direct health-effect claims, only optional background presence language.",>= 40 ug DFE/serving and below 665 ug DFE/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 665 ug DFE/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use DFE units for mixed natural folate and folic acid; neural-tube-defect prevention claims should match folic acid-specific 400 ug/day guidance.
Vitamin C,10,mg/serving,NIH ODS deficiency anchor: overt deficiency/scurvy occurs below about 10 mg/day; use 10 mg/serving as the minimum meaningful food-level threshold,"NIH ODS Vitamin C fact sheet, https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/; NIH ODS Vitamin C consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminC-Consumer/; Linus Pauling Institute Vitamin C overview, https://lpi.oregonstate.edu/mic/vitamins/vitamin-C",meaningful_dose_reviewed,500,mg/serving,common standalone vitamin C tablet/caplet dose,"NIH ODS vitamin C fact sheet discusses 500 mg supplementation in trials, https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/; Nature Made/CVS vitamin C 500 mg product label, https://www.cvs.com/shop/nature-made-vitamin-c-tablets-500mg-prodid-1070792; Linus Pauling Institute notes oral supplementation ranges 500 mg/day to 2 g/day in studies, https://lpi.oregonstate.edu/mic/vitamins/vitamin-C",supplement_dose_reviewed,"< 10 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 10 mg/serving and below 500 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 500 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Ten mg is the explicit oral minimum-effect anchor for avoiding overt vitamin C deficiency; iron-absorption or common-cold claims may require meal context or higher dose matching.
Vitamin D,1.5,ug/serving,10% of the 15 ug/day adult RDA for ages 19-70; RDA is intended to maintain bone health and normal calcium metabolism,"NIH ODS Vitamin D fact sheet, https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/; NIH ODS Vitamin D consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminD-Consumer/; MedlinePlus Vitamin D overview, https://medlineplus.gov/vitamind.html",meaningful_dose_reviewed,25,ug/serving,common 1000 IU vitamin D supplement dose,"NIH ODS vitamin D fact sheet: D2 and D3 are the two main supplemental forms, https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/; Nature Made vitamin D3 1000 IU / 25 mcg label, https://www.amazon.com/Nature-Made-Vitamin-1000-Softgels/dp/B004U3Y8OM",supplement_dose_reviewed,"< 1.5 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.5 ug/serving and below 25 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 25 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level vitamin D routing should stay in calcium/bone and adequacy context; correcting deficiency or changing serum 25(OH)D usually requires individualized higher dosing.
Vitamin D2,1.5,ug vitamin D2/serving,"10% of the 15 ug/day adult vitamin D RDA applied to ergocalciferol; D2 raises vitamin D status, though D3 may raise it higher/longer","NIH ODS Vitamin D fact sheet, https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/; NIH ODS Vitamin D consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminD-Consumer/; MedlinePlus Vitamin D overview, https://medlineplus.gov/vitamind.html",meaningful_dose_reviewed,25,ug vitamin D2/serving,ergocalciferol/D2 supplement dose aligned to 1000 IU vitamin D routing threshold,"NIH ODS vitamin D fact sheet: D2/ergocalciferol and D3/cholecalciferol are supplemental forms, https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/; Kaiser Permanente ergocalciferol D2 1000 IU capsule page, https://healthy.kaiserpermanente.org/health-wellness/drug-encyclopedia/drug.ergocalciferol-vitamin-d2-1-000-unit-capsule.443466; DailyMed ergocalciferol label states 1 mcg D2 equals 40 IU, https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=bc3ed1e0-0bb9-1cc0-e053-2995a90a48fe",supplement_dose_reviewed,"< 1.5 ug vitamin D2/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.5 ug vitamin D2/serving and below 25 ug vitamin D2/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 25 ug vitamin D2/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use for ergocalciferol/plant or mushroom-derived vitamin D; do not infer D3-equivalent potency beyond vitamin D status context without dose-specific evidence.
Vitamin D3,1.5,ug vitamin D3/serving,10% of the 15 ug/day adult vitamin D RDA applied to cholecalciferol,"NIH ODS Vitamin D fact sheet, https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/; NIH ODS Vitamin D consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminD-Consumer/; MedlinePlus Vitamin D overview, https://medlineplus.gov/vitamind.html",meaningful_dose_reviewed,25,ug vitamin D3/serving,common 1000 IU cholecalciferol/D3 supplement dose,"NIH ODS vitamin D fact sheet: D2 and D3 are main supplemental forms, https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/; Nature Made vitamin D3 1000 IU / 25 mcg label, https://www.amazon.com/Nature-Made-Vitamin-1000-Softgels/dp/B004U3Y8OM; Nature Made D3 1000 IU product page, https://www.marianos.com/p/nature-made-vitamin-d3-1000-iu-25-mcg-tablets/0003160401870",supplement_dose_reviewed,"< 1.5 ug vitamin D3/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.5 ug vitamin D3/serving and below 25 ug vitamin D3/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 25 ug vitamin D3/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use for cholecalciferol/animal or lichen-derived vitamin D3; higher-dose deficiency correction and serum 25(OH)D claims need separate evidence.
Vitamin E,1.5,mg alpha-tocopherol/serving,10% of the 15 mg alpha-tocopherol/day FDA Daily Value and adult RDA context,"NIH ODS Vitamin E fact sheet, https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/; NIH ODS Vitamin E consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminE-Consumer/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,67,mg alpha-tocopherol/serving,lower common standalone vitamin E supplement dose (100 IU natural vitamin E equivalent),"NIH ODS vitamin E fact sheet: most vitamin-E-only supplements provide at least 67 mg / 100 IU natural vitamin E, https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/; Linus Pauling Institute conversion example: 100 IU natural vitamin E provides 67 mg alpha-tocopherol, https://lpi.oregonstate.edu/mic/vitamins/vitamin-E; Nature Made vitamin E 400 IU / 180 mg label, https://www.naturemade.com/products/nature-made-vitamin-e-180-mg-400-iu-dl-alpha-softgels",supplement_dose_reviewed,"< 1.5 mg alpha-tocopherol/serving; do not surface direct health-effect claims, only optional background presence language.",>= 1.5 mg alpha-tocopherol/serving and below 67 mg alpha-tocopherol/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 67 mg alpha-tocopherol/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Use alpha-tocopherol units; high-dose antioxidant or bleeding-risk claims should not be inferred from food-level vitamin E.
Vitamin K,9,ug/serving,10% of the lower adult Adequate Intake: 90 ug/day for adult women; use as a food-level meaningful threshold for normal clotting and bone-metabolism context,"NIH ODS Vitamin K fact sheet, https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/; NIH ODS Vitamin K consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminK-Consumer/; Harvard Nutrition Source Vitamin K overview, https://nutritionsource.hsph.harvard.edu/vitamin-k/",meaningful_dose_reviewed,100,ug/serving,common vitamin K2 supplement softgel dose; anticoagulant interaction caution,"NIH ODS vitamin K fact sheet and warfarin consistency caution, https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/; NIH ODS consumer fact sheet, https://ods.od.nih.gov/factsheets/VitaminK-Consumer/; Nature Made vitamin K2 100 mcg label, https://www.naturemade.com/products/vitamin-k2-100-mcg-softgels",supplement_dose_reviewed_caution,"< 9 ug/serving; do not surface direct health-effect claims, only optional background presence language.",>= 9 ug/serving and below 100 ug/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 100 ug/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Vitamin K has medication interaction context with warfarin; food-level claims should emphasize normal clotting/bone metabolism and consistency of intake where relevant.
Zinc,0.8,mg/serving,10% of the lower adult RDA: 8 mg/day for adult women; zinc is required for enzyme activity immune function protein and DNA synthesis wound healing and cell signaling,"NIH ODS Zinc fact sheet, https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/; NIH ODS Zinc consumer fact sheet, https://ods.od.nih.gov/factsheets/Zinc-Consumer/; FDA Daily Values, https://www.fda.gov/food/nutrition-facts-label/daily-value-nutrition-and-supplement-facts-labels",meaningful_dose_reviewed,15,mg/serving,lower common standalone zinc supplement dose; below higher 30-50 mg products,"NIH ODS zinc fact sheet, https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/; NIH DSLD Zinc Citrate 15 mg label, https://dsld.od.nih.gov/label/282724; Nature Made zinc 30 mg label, https://www.naturemade.com/products/zinc-30-mg-tablets",supplement_dose_reviewed_caution,"< 0.8 mg/serving; do not surface direct health-effect claims, only optional background presence language.",>= 0.8 mg/serving and below 15 mg/serving; eligible for normal food-level/naturally occurring health-effect summaries when evidence context supports the effect.,">= 15 mg/serving; supplement-level, therapeutic-dose, high-caution, or high-exposure effects may be considered when the effect context matches the recipe dose.",Food-level zinc routing should stay in normal immune/metabolic contribution context; high-dose zinc can interfere with copper and needs separate supplement-dose caution.
